time,open,high,low,close,MA,Volume,Volume MA
1571292000,1.4739,1.4756,1.4643,1.465,1.4787777777777729,570,549.85
1571306400,1.4646,1.4672,1.4632,1.464,1.4765222222222172,583,551.15
1571320800,1.4638,1.467,1.4638,1.4651,1.4744333333333282,497,548.05
1571335200,1.4649,1.4656,1.464,1.4643,1.4722666666666617,507,546
1571349600,1.4641,1.4658,1.462,1.4648,1.469988888888884,550,546.6
1571364000,1.4648,1.4648,1.4624,1.4642,1.4682999999999948,561,551.05
1571378400,1.464,1.4643,1.4616,1.4628,1.4663888888888839,561,552.25
1571392800,1.4626,1.4631,1.4594,1.4599,1.464899999999995,565,554.4
1571407200,1.4597,1.4621,1.4589,1.4596,1.4632999999999952,570,554.4
1571421600,1.4593,1.4598,1.4569,1.4579,1.4625111111111062,403,546.15
1571608800,1.4592,1.4616,1.4573,1.458,1.4618444444444396,864,560.35
1571623200,1.4578,1.4583,1.4562,1.4578,1.4610333333333285,799,573.45
1571637600,1.4576,1.458,1.4531,1.4535,1.4598333333333284,849,588.1
1571652000,1.4533,1.4557,1.4531,1.4542,1.4586555555555507,781,599.7
1571666400,1.454,1.4571,1.4533,1.4565,1.457799999999995,814,611.55
1571680800,1.4562,1.4568,1.4554,1.4563,1.4570777777777728,633,615
1571695200,1.4561,1.4567,1.4525,1.4561,1.4566555555555505,735,623.35
1571709600,1.4558,1.4568,1.4529,1.4539,1.4560222222222174,745,634.6
1571724000,1.4537,1.4579,1.4536,1.4573,1.4559555555555503,797,646.45
1571738400,1.4571,1.4595,1.4565,1.4567,1.455811111111106,768,657.6
1571752800,1.4565,1.4574,1.4554,1.4559,1.455599999999995,719,665.05
1571767200,1.4557,1.4595,1.4554,1.459,1.456211111111106,697,670.75
1571781600,1.4589,1.4605,1.4569,1.4604,1.4568999999999948,699,680.85
1571796000,1.4602,1.463,1.46,1.4603,1.457322222222217,709,690.95
1571810400,1.46,1.4625,1.46,1.4612,1.4578666666666615,683,697.6
1571824800,1.4609,1.4624,1.4595,1.4601,1.458311111111106,666,702.85
1571839200,1.4599,1.4621,1.4595,1.4599,1.4589777777777728,616,705.6
1571853600,1.4596,1.4599,1.4578,1.4591,1.4591777777777726,538,704.25
1571868000,1.4589,1.4609,1.4586,1.4588,1.459411111111106,689,710.2
1571882400,1.4585,1.4618,1.4578,1.4616,1.4600444444444394,523,716.2
1571896800,1.4613,1.465,1.4599,1.4634,1.4605333333333281,766,711.3
1571911200,1.4632,1.4653,1.4607,1.4647,1.4610111111111062,802,711.45
1571925600,1.4645,1.468,1.4644,1.4664,1.4616888888888837,842,711.1
1571940000,1.4661,1.4668,1.4652,1.4664,1.4622666666666615,633,703.7
1571954400,1.4661,1.4679,1.4658,1.4673,1.4630666666666614,742,700.1
1571968800,1.4671,1.4683,1.4636,1.4642,1.463544444444439,764,706.65
1571983200,1.4639,1.4657,1.4631,1.4653,1.464233333333328,803,710.05
1571997600,1.465,1.4659,1.4642,1.4648,1.4648999999999945,823,713.95
1572012000,1.4646,1.4661,1.4624,1.4658,1.4653666666666612,824,715.3
1572026400,1.4656,1.4665,1.4652,1.4655,1.4655999999999945,556,704.7
1572213600,1.46568,1.46692,1.4645,1.4664,1.4657888888888833,540,695.75
1572228000,1.46668,1.468,1.4658,1.46706,1.4658622222222166,516,686.7
1572242400,1.46694,1.46741,1.4637,1.4643,1.4656288888888833,559,679.7
1572256800,1.46419,1.4657,1.4629,1.4646,1.4653288888888834,570,672.75
1572271200,1.4644,1.4651,1.4605,1.4609,1.4649622222222167,561,666.65
1572285600,1.4607,1.4625,1.4607,1.4622,1.4646177777777722,513,659
1572300000,1.4619,1.4627,1.4608,1.4611,1.464206666666661,541,655.25
1572314400,1.4609,1.4613,1.4582,1.4586,1.4634066666666612,552,655.95
1572328800,1.4583,1.4606,1.4575,1.4604,1.4628399999999944,561,649.55
1572343200,1.4601,1.4611,1.4574,1.4581,1.461917777777772,556,651.2
1572357600,1.4579,1.4584,1.4551,1.4575,1.4608555555555498,556,640.7
1572372000,1.4573,1.4578,1.456,1.4571,1.4600555555555499,496,625.4
1572386400,1.4569,1.4598,1.455,1.4569,1.4591999999999943,541,610.35
1572400800,1.4567,1.4584,1.4564,1.457,1.458766666666661,541,605.75
1572415200,1.4565,1.4572,1.4541,1.4547,1.4579333333333278,549,596.1
1572429600,1.4545,1.4589,1.4541,1.4577,1.4575555555555502,565,586.15
1572444000,1.4575,1.4584,1.4539,1.4556,1.4572222222222166,569,574.45
1572458400,1.4557,1.4596,1.4483,1.4491,1.455966666666661,533,559.95
1572472800,1.4489,1.4498,1.4441,1.4441,1.4544111111111055,549,546.2
1572487200,1.4437,1.4453,1.4428,1.4444,1.4529555555555502,558,546.3
1572501600,1.4441,1.4514,1.444,1.4507,1.452244444444439,565,547.55
1572516000,1.4506,1.4512,1.4462,1.4487,1.451333333333328,575,550.5
1572530400,1.4486,1.4522,1.4483,1.4516,1.4507333333333279,581,551.6
1572544800,1.4514,1.4526,1.4501,1.4508,1.4502999999999946,512,548.7
1572559200,1.4507,1.4524,1.4471,1.4471,1.4491222222222169,519,546.6
1572573600,1.4469,1.4488,1.4469,1.4488,1.4483666666666613,541,548
1572588000,1.4484,1.4507,1.4464,1.4502,1.4484888888888836,520,546.95
1572602400,1.4499,1.4511,1.4476,1.4492,1.4490555555555504,564,547.55
1572616800,1.4494,1.4494,1.4448,1.4466,1.4492999999999947,563,547.65
1572631200,1.4463,1.4478,1.4457,1.4459,1.4487666666666614,414,540.55
1572818400,1.4462,1.4482,1.4449,1.4461,1.4484777777777724,545,540
1572832800,1.4459,1.4462,1.4441,1.4449,1.447733333333328,526,541.5
1572847200,1.4447,1.4471,1.4437,1.4463,1.447233333333328,562,542.55
1572861600,1.4461,1.4482,1.446,1.448,1.4473333333333283,550,543
1572876000,1.448,1.4504,1.4473,1.4497,1.4474333333333282,556,543.35
1572890400,1.4494,1.4539,1.4494,1.4523,1.4476666666666613,530,541.6
1572904800,1.4523,1.4539,1.4505,1.4522,1.4479999999999946,542,540.25
1572919200,1.4519,1.4533,1.4475,1.4486,1.448222222222217,568,542
1572933600,1.4484,1.449,1.4435,1.4437,1.4479777777777723,573,543.2
1572948000,1.4437,1.4473,1.443,1.4466,1.448033333333328,570,543.8
1572962400,1.4464,1.4524,1.4464,1.4506,1.4486666666666612,583,544.7
1572976800,1.4503,1.4511,1.4494,1.4505,1.4491333333333278,530,542.45
1572991200,1.4501,1.4519,1.4493,1.4504,1.4493999999999945,528,539.8
1573005600,1.4501,1.4509,1.4488,1.4494,1.4493666666666614,548,541.6
1573020000,1.4491,1.4523,1.4474,1.4489,1.4489888888888836,571,544.2
1573034400,1.4487,1.45,1.4476,1.4486,1.4485888888888836,555,544.9
1573048800,1.4484,1.4555,1.4484,1.4542,1.449211111111106,571,547.45
1573063200,1.454,1.4544,1.452,1.4524,1.4501777777777725,533,545.9
1573077600,1.4523,1.4563,1.4517,1.4557,1.4511888888888835,494,542.45
1573092000,1.4555,1.4571,1.4547,1.4552,1.4516999999999947,537,548.6
1573106400,1.455,1.4553,1.4471,1.4481,1.451433333333328,571,549.9
1573120800,1.448,1.4508,1.4466,1.4505,1.4514444444444392,570,552.1
1573135200,1.4503,1.4528,1.4464,1.4483,1.451322222222217,578,552.9
1573149600,1.448,1.4498,1.4463,1.4494,1.4513777777777728,552,553
1573164000,1.4494,1.4532,1.4478,1.4528,1.4518444444444392,536,552
1573178400,1.4526,1.4541,1.4521,1.4527,1.4516777777777727,559,553.45
1573192800,1.4526,1.4558,1.4516,1.4556,1.4520333333333282,552,553.95
1573207200,1.4554,1.4571,1.4549,1.4563,1.452099999999995,562,553.65
1573221600,1.4562,1.4602,1.456,1.4591,1.4525333333333283,565,553.25
1573236000,1.4589,1.4594,1.4574,1.4578,1.453611111111106,480,548.75
1573423200,1.458,1.4592,1.4571,1.4592,1.4545777777777726,534,546.3
1573437600,1.4589,1.46,1.4579,1.4582,1.455677777777773,534,546.5
1573452000,1.458,1.4598,1.4567,1.4573,1.4565555555555507,557,547.95
1573466400,1.4571,1.4594,1.4561,1.4583,1.4571666666666616,535,547.3
1573480800,1.4582,1.4602,1.458,1.4588,1.4578444444444394,530,545.25
1573495200,1.4587,1.4597,1.4578,1.4596,1.4582888888888839,487,541.85
1573509600,1.4593,1.4613,1.4586,1.4613,1.4588444444444395,514,539
1573524000,1.461,1.4631,1.4591,1.4594,1.458877777777773,559,540.3
1573538400,1.4592,1.4625,1.4579,1.4614,1.4592777777777728,561,543.65
1573552800,1.4612,1.4631,1.4595,1.4601,1.4593777777777728,564,545
1573567200,1.46,1.4636,1.4597,1.4606,1.4596444444444394,582,545.55
